Nome,Repo+File,Descricao
Acrobat Reader,Adobe.Acrobat.Reader.32-bit,Leitor de PDF
Amazon Games,Amazon.Games,Gerenciador de jogos da Amazon
Amazon Music,Amazon.Music,Gerenciador de músicas da Amazon
Bing Wallpaper,Microsoft.BingWallpaper,Papéis de parede do Bing
Lively Wallpaper,rocksdanister.LivelyWallpaper,Papeis de parede interativo
Brave,Brave.Brave,Navegador web Brave
Canva,Canva.Canva,Editor de design gráfico
Dropbox,Dropbox.Dropbox,Armazenamento em nuvem Dropbox
Epic,EpicGames.EpicGamesLauncher,Gerenciador de jogos da Epic Games
Evernote,evernote.evernote,Aplicativo de anotações
FFmpeg,yt-dlp.FFmpeg,FFmpeg para yt-dlp
Figma,Figma.Figma,Ferramenta de design colaborativo
Galaxy Buds,Samsung.GalaxyBudsManager,Gerenciador de fones Galaxy Buds
GitHub Desktop,GitHub.GitHubDesktop,Cliente GitHub Desktop
Google Drive,Google.GoogleDrive,Armazenamento em nuvem Google Drive
Insync,Insynchq.Insync,Sincronização de arquivos com Google Drive OneDrive e Dropbox
JDK8,Oracle.JavaRuntimeEnvironment,Java Development Kit 8
Microsoft 365,Microsoft.Office,Pacote de aplicativos Microsoft 365
Microsoft AppRuntime 1.3,Microsoft.WindowsAppRuntime.1.3,Runtime para aplicativos UWP
MobaXterm,Mobatek.MobaXterm,Terminal e servidor X11
Notepad++,Notepad++.Notepad++,Editor de texto avançado
Notion,Notion.Notion,Aplicativo de produtividade e organização
OneDrive,Microsoft.OneDrive,Armazenamento em nuvem OneDrive
Oracle VM VirtualBox,Oracle.VirtualBox,Software de virtualização
Playnite,Playnite.Playnite,Gerenciador de jogos de código aberto
Postman,Postman.Postman,Ferramenta de colaboração para APIs
PowerToys,Microsoft.PowerToys,Conjunto de utilitários para Windows
Spotify,Spotify.Spotify,Serviço de streaming de músicas
Steam,Valve.Steam,Plataforma de jogos Steam
Teams For Work and School,Microsoft.Teams,Aplicativo de colaboração Teams
Visual Studio Code,Microsoft.VisualStudioCode,Editor de código-fonte leve e poderoso
Vivaldi,Vivaldi.Vivaldi,Navegador web Vivaldi
XMouseButtonControl,Highresolution.X-MouseButtonControl,Gerenciador de botões do mouse
Yt-dlp,yt-dlp.yt-dlp,Gerenciador de downloads de vídeos
Windhawk,RamenSoftware.Windhawk,personalização do Windows
DevToys,DevToys-app.DevToys,Coleção de ferramentas para desenvolvedores
Everything,voidtools.Everything,Ferramenta de busca rápida de arquivos
Deezer,Deezer.Deezer,Serviço de Streaming de Música
CCleaner,Piriform.CCleaner,Gerenciador de manutenção
Discord,Discord.Discord,Rede social gamer
PowerToys,9P8LTPGCBZXD,Ferramentas de apoio ao SO





